Algorithm,Threads,DataSetSize,Dimension,K,TimeMs,MemoryMB
Concurrent,4,100000,20,5,535,3
Parallel,4,100000,20,5,475,2
Concurrent,8,100000,20,5,354,4
Parallel,8,100000,20,5,333,2
Sequential,1,100000,20,10,1596,2
Concurrent,1,100000,20,10,1607,3
Parallel,1,100000,20,10,1583,2
Concurrent,2,100000,20,10,972,3
Parallel,2,100000,20,10,885,2
Concurrent,4,100000,20,10,637,4
Parallel,4,100000,20,10,588,3
Concurrent,8,100000,20,10,390,6
Parallel,8,100000,20,10,353,2
Sequential,1,1000000,2,3,5696,21
Concurrent,1,1000000,2,3,6116,26
Parallel,1,1000000,2,3,5786,21
Concurrent,2,1000000,2,3,4332,27
Parallel,2,1000000,2,3,4127,21
Concurrent,4,1000000,2,3,3631,29
Parallel,4,1000000,2,3,3397,22
Concurrent,8,1000000,2,3,3566,28
Parallel,8,1000000,2,3,3506,29
Sequential,1,1000000,2,5,5984,17
Concurrent,1,1000000,2,5,6461,23
Parallel,1,1000000,2,5,6029,17
Concurrent,2,1000000,2,5,4271,22
Parallel,2,1000000,2,5,4151,19
Concurrent,4,1000000,2,5,3120,25
Parallel,4,1000000,2,5,3028,18
Concurrent,8,1000000,2,5,2402,24
Parallel,8,1000000,2,5,2406,18
Sequential,1,1000000,2,10,7441,17
Concurrent,1,1000000,2,10,7826,23
Parallel,1,1000000,2,10,7504,19
Concurrent,2,1000000,2,10,5146,25
Parallel,2,1000000,2,10,4863,19
Concurrent,4,1000000,2,10,3603,28
Parallel,4,1000000,2,10,3464,19
Concurrent,8,1000000,2,10,1957,30
Parallel,8,1000000,2,10,1938,21
Sequential,1,1000000,10,3,8473,21
Concurrent,1,1000000,10,3,8740,25
Parallel,1,1000000,10,3,8215,17
Concurrent,2,1000000,10,3,5821,21
Parallel,2,1000000,10,3,5514,24
Concurrent,4,1000000,10,3,4165,28
Parallel,4,1000000,10,3,4046,22
Concurrent,8,1000000,10,3,3859,32
Parallel,8,1000000,10,3,3961,27
Sequential,1,1000000,10,5,9162,20
Concurrent,1,1000000,10,5,9381,27
Parallel,1,1000000,10,5,8982,17
Concurrent,2,1000000,10,5,6081,22
Parallel,2,1000000,10,5,5706,17
Concurrent,4,1000000,10,5,4057,23
Parallel,4,1000000,10,5,3931,21
Concurrent,8,1000000,10,5,2579,30
Parallel,8,1000000,10,5,2624,21
Sequential,1,1000000,10,10,11500,17
Concurrent,1,1000000,10,10,12309,22
Parallel,1,1000000,10,10,11965,17
Concurrent,2,1000000,10,10,7380,23
Parallel,2,1000000,10,10,6820,17
Concurrent,4,1000000,10,10,4867,27
Parallel,4,1000000,10,10,4604,18
Concurrent,8,1000000,10,10,2719,29
Parallel,8,1000000,10,10,2756,20
Sequential,1,1000000,20,3,9276,10
Concurrent,1,1000000,20,3,9522,22
Parallel,1,1000000,20,3,9560,15
Concurrent,2,1000000,20,3,6868,26
Parallel,2,1000000,20,3,5974,15
Concurrent,4,1000000,20,3,4549,26
Parallel,4,1000000,20,3,4012,16
Concurrent,8,1000000,20,3,4099,30
Parallel,8,1000000,20,3,4344,30
Sequential,1,1000000,20,5,13510,19
Concurrent,1,1000000,20,5,13603,26
Parallel,1,1000000,20,5,13505,17
Concurrent,2,1000000,20,5,8400,21
Parallel,2,1000000,20,5,7918,17
Concurrent,4,1000000,20,5,5329,23
Parallel,4,1000000,20,5,5158,18
Concurrent,8,1000000,20,5,3175,30
Parallel,8,1000000,20,5,3395,25
Sequential,1,1000000,20,10,17839,18
Concurrent,1,1000000,20,10,17481,24
Parallel,1,1000000,20,10,17471,18
Concurrent,2,1000000,20,10,10644,24
Parallel,2,1000000,20,10,9894,20
Concurrent,4,1000000,20,10,6556,26
Parallel,4,1000000,20,10,6337,19
Concurrent,8,1000000,20,10,3712,30
Parallel,8,1000000,20,10,3892,21
